DP_PRIMARY_ID (CMS POS),DP_SECONDARY_ID (MUA),DP_APP_XWALK_DESC,
"211913","07283","CMS POS/MUA Crosswalk"
"511318","06209","CMS POS/MUA Crosswalk"
"45H250","03442","CMS POS/MUA Crosswalk"
"111028","00736","CMS POS/MUA Crosswalk"
"231101","05075","CMS POS/MUA Crosswalk"
"511905","03714","CMS POS/MUA Crosswalk"
"441863","1475705181","CMS POS/MUA Crosswalk"
"201916","07767","CMS POS/MUA Crosswalk"
"675716","1487738109","CMS POS/MUA Crosswalk"
"15G033","07863","CMS POS/MUA Crosswalk"
"375235","02747","CMS POS/MUA Crosswalk"
"15G033","1181155511","CMS POS/MUA Crosswalk"
"33H558","02403","CMS POS/MUA Crosswalk"
"253930","01805","CMS POS/MUA Crosswalk"
"341054","02538","CMS POS/MUA Crosswalk"
"183934","1212442088","CMS POS/MUA Crosswalk"
"37E624","07716","CMS POS/MUA Crosswalk"
"236881","01557","CMS POS/MUA Crosswalk"
"15G238","1186105315","CMS POS/MUA Crosswalk"
"442730","07469","CMS POS/MUA Crosswalk"
"751851","07515","CMS POS/MUA Crosswalk"
"676393","03494","CMS POS/MUA Crosswalk"
"061973","00421","CMS POS/MUA Crosswalk"
"151931","07892","CMS POS/MUA Crosswalk"
"047853","00193","CMS POS/MUA Crosswalk"
"511089","06207","CMS POS/MUA Crosswalk"
"371554","02743","CMS POS/MUA Crosswalk"
"371914","07953","CMS POS/MUA Crosswalk"
"678174","03347","CMS POS/MUA Crosswalk"
"030077","00114","CMS POS/MUA Crosswalk"
"465184","07709","CMS POS/MUA Crosswalk"
"361105","02648","CMS POS/MUA Crosswalk"
"251039","01819","CMS POS/MUA Crosswalk"
"372532","07501","CMS POS/MUA Crosswalk"
"013462","00042","CMS POS/MUA Crosswalk"
"491606","03648","CMS POS/MUA Crosswalk"
"19G791","01352","CMS POS/MUA Crosswalk"
"571028","02196","CMS POS/MUA Crosswalk"
"452731","03378","CMS POS/MUA Crosswalk"
"398203","07024","CMS POS/MUA Crosswalk"
"017134","00020","CMS POS/MUA Crosswalk"
"10C0001598","07097","CMS POS/MUA Crosswalk"
"751639","07390","CMS POS/MUA Crosswalk"
"017112","07909","CMS POS/MUA Crosswalk"
"19G781","01381","CMS POS/MUA Crosswalk"
"453119","03288","CMS POS/MUA Crosswalk"
"571054","02290","CMS POS/MUA Crosswalk"
"251628","01789","CMS POS/MUA Crosswalk"
"50C0001315","03696","CMS POS/MUA Crosswalk"
"751670","07330","CMS POS/MUA Crosswalk"
"451748","03510","CMS POS/MUA Crosswalk"
"467221","03537","CMS POS/MUA Crosswalk"
"058689","00246","CMS POS/MUA Crosswalk"
"038504","07193","CMS POS/MUA Crosswalk"
"681043","07167","CMS POS/MUA Crosswalk"
"059756","07426","CMS POS/MUA Crosswalk"
"175396","07260","CMS POS/MUA Crosswalk"
"445167","1471942236","CMS POS/MUA Crosswalk"
"373484","02735","CMS POS/MUA Crosswalk"
"747957","03445","CMS POS/MUA Crosswalk"
"15C0001196","00959","CMS POS/MUA Crosswalk"
"142786","07098","CMS POS/MUA Crosswalk"
"031937","07500","CMS POS/MUA Crosswalk"
"511080","03712","CMS POS/MUA Crosswalk"
"679429","07041","CMS POS/MUA Crosswalk"
"281837","1317668796","CMS POS/MUA Crosswalk"
"107017","00523","CMS POS/MUA Crosswalk"
"238687","01636","CMS POS/MUA Crosswalk"
"371682","07811","CMS POS/MUA Crosswalk"
"683163","06213","CMS POS/MUA Crosswalk"
"017109","00058","CMS POS/MUA Crosswalk"
"341042","02477","CMS POS/MUA Crosswalk"
"387312","03930","CMS POS/MUA Crosswalk"
"941015","03696","CMS POS/MUA Crosswalk"
"456508","03498","CMS POS/MUA Crosswalk"
"147929","07313","CMS POS/MUA Crosswalk"
"36C0001294","07602","CMS POS/MUA Crosswalk"
"416510","03048","CMS POS/MUA Crosswalk"
"682607","06201","CMS POS/MUA Crosswalk"
"571010","02388","CMS POS/MUA Crosswalk"
"341581","02472","CMS POS/MUA Crosswalk"
"043884","00197","CMS POS/MUA Crosswalk"
"11C0001395","00718","CMS POS/MUA Crosswalk"
"188937","1214925129","CMS POS/MUA Crosswalk"
"231085","01568","CMS POS/MUA Crosswalk"
"441886","1476002513","CMS POS/MUA Crosswalk"
"07X0009830","00468","CMS POS/MUA Crosswalk"
"344026","02513","CMS POS/MUA Crosswalk"
"45X0009911","03488","CMS POS/MUA Crosswalk"
"273407","07536","CMS POS/MUA Crosswalk"
"277060","01971","CMS POS/MUA Crosswalk"
"148541","00853","CMS POS/MUA Crosswalk"
"741650","03348","CMS POS/MUA Crosswalk"
"183823","1216709712","CMS POS/MUA Crosswalk"
"291314","02092","CMS POS/MUA Crosswalk"
"921561","07426","CMS POS/MUA Crosswalk"
"258607","01773","CMS POS/MUA Crosswalk"
"401833","03908","CMS POS/MUA Crosswalk"
"751191","07387","CMS POS/MUA Crosswalk"
"14X0009817","07886","CMS POS/MUA Crosswalk"
"183432","1213887918","CMS POS/MUA Crosswalk"
"109556","07158","CMS POS/MUA Crosswalk"
"238699","01554","CMS POS/MUA Crosswalk"
"30X0009803","07747","CMS POS/MUA Crosswalk"
"107684","06179","CMS POS/MUA Crosswalk"
"495139","1515871728","CMS POS/MUA Crosswalk"
"227652","01509","CMS POS/MUA Crosswalk"
"33C0001133","02337","CMS POS/MUA Crosswalk"
"111017","00604","CMS POS/MUA Crosswalk"
"683179","07245","CMS POS/MUA Crosswalk"
"061972","00447","CMS POS/MUA Crosswalk"
